cumulative,just auto_increment,"auto_increment, key","auto_increment, unique key","w/o auto-increment, key","w/o auto-increment, unique key","w/o auto-increment, primary key"
0,0,0,0,0,0,0
10000,14.5051891804,16.1199300289,15.4630281925,14.9538011551,15.3417019844,15.352312088
20000,15.6726207733,16.1095240116,15.208687067,15.1080310345,15.4753949642,15.5638720989
30000,14.3829410076,15.9645531178,15.775441885,15.8312530518,15.3526508808,15.4638121128
40000,15.0731649399,16.209207058,15.4195082188,15.5203831196,14.7409799099,14.9628691673
50000,14.583717823,16.1287169456,16.5312907696,16.0757830143,14.507764101,15.1522929668
60000,15.4059529305,15.8527719975,15.9088699818,15.8205370903,15.1416578293,15.5643279552
70000,14.6943769455,15.9314579964,16.5313181877,15.5413970947,14.7180190086,15.2530009747
80000,14.1725690365,15.9868409634,15.9980120659,15.8312380314,15.0174958706,15.0754768848
90000,14.3171510696,16.1016540527,16.8428318501,15.6636748314,15.0845520496,15.1529688835
100000,14.4394509792,15.9039649963,15.7527210712,15.8868050575,14.9526410103,15.4975121021
110000,14.550205946,15.6647310257,16.118500948,15.6755731106,15.1530878544,15.1417498589
120000,14.7289659977,16.2980828285,16.7106328011,15.6205420494,21.6907801628,15.0525519848
130000,14.2280778885,15.8284680843,16.6740598679,16.1083440781,37.467705965,15.0967099667
140000,14.52739501,15.8646190166,16.6873071194,15.564469099,30.7627229691,15.6749258041
150000,14.4286999702,15.7421569824,15.8074250221,15.9196901321,29.395868063,15.6306200027
160000,14.4595389366,16.7765619755,21.7571458817,16.6318981647,29.0613439083,31.0411391258
170000,14.8624520302,16.0747351646,41.5480210781,17.4290819168,26.7239789963,35.8222939968
180000,14.8963191509,17.5111989975,34.5656359196,17.5545401573,28.5946700573,26.3827998638
190000,14.4849450588,17.320759058,35.6661920547,18.110337019,30.718875885,30.4175579548
200000,14.4395611286,17.6106629372,27.6606349945,17.7980818748,32.697455883,32.5422899723
210000,14.3619539738,18.7107081413,32.6861679554,18.0328719616,34.3100049496,34.3761711121
220000,14.828979969,18.3650548458,30.7744240761,18.2210559845,35.710725069,34.0206050873
230000,14.6959350109,17.0329630375,28.9617009163,18.6666650772,36.6219291687,38.2438189983
240000,14.6517169476,18.5550169945,33.131248951,18.1211130619,39.9463911057,41.9549880028
250000,14.6628627777,17.730825901,30.3847970963,18.8439099789,40.8020279408,40.3473949432
260000,14.3178761005,19.7782170773,35.4662020206,18.3546869755,44.3152618408,39.8244540691
270000,14.3288240433,17.8320798874,27.9391829967,19.810915947,47.9498651028,44.5726640224
280000,14.2960948944,18.5328469276,28.9715189934,20.9785358906,48.3630340099,44.827685833
290000,14.6398789883,19.3555099964,29.9846658707,20.1120891571,49.2085340023,50.1537587643
300000,14.495388031,19.3322079182,35.5094740391,22.1908240318,54.1636190414,49.6404750347
310000,14.3069601059,20.2457141876,36.7778120041,20.5892970562,50.1196951866,47.8183898926
320000,14.5735828876,20.1336328983,37.411634922,23.2363328934,50.9760529995,51.5663151741
330000,14.040252924,20.6236510277,41.2025799751,22.3887851238,51.2642598152,51.4427790642
340000,14.3502910137,22.1213469505,45.7726728916,21.4451980591,51.726402998,54.6790518761
350000,13.8509230614,22.0123970509,47.6180181503,23.3468978405,52.4113790989,52.1987249851
360000,14.5384569168,22.7134838104,48.1633861065,23.057420969,53.8442828655,54.5453169346
370000,14.4326329231,21.9903578758,49.8087007999,23.1136200428,53.8340239525,53.186868906
380000,14.4075779915,22.3908019066,50.9758019447,24.5027391911,54.5125620365,56.14407897
390000,14.2741351128,21.6011579037,50.9642789364,23.5143649578,53.6674461365,59.3928470612
400000,14.6520271301,23.033520937,51.5436241627,23.7232241631,54.54555583,59.5584421158
410000,14.2069540024,22.780372858,50.6754348278,23.0130369663,55.0237631798,63.6832060814
420000,15.9525401592,23.8355538845,50.8528900146,25.3254570961,58.303563118,62.3698270321
430000,14.3069088459,22.9796700478,52.6556959152,24.113920927,57.7579159737,68.6434829235
440000,14.2516019344,24.5475370884,53.8098499775,24.0885970592,58.7262940407,64.6630260944
450000,14.5297420025,23.8253769875,52.3511271477,23.3025569916,61.617180109,63.9517669678
460000,14.4179899693,22.6574280262,53.0631020069,25.8453781605,61.6839230061,65.185559988
470000,14.6514568329,23.8916840553,52.1877629757,24.9375309944,64.8411798477,69.4324841499
480000,14.3297121525,24.1327118874,53.3996269703,23.2582900524,64.2748019695,68.1555109024
490000,14.8188841343,23.6136569977,51.9651060104,23.6580619812,66.3204109669,67.5099060535
500000,14.5627920628,22.9684929848,52.1209759712,23.7695248127,66.9543647766,70.478344202
510000,14.5737798214,24.0358729362,51.9323151112,25.7466480732,67.4875700474,68.5544331074
520000,14.4173569679,24.2696180344,53.1704888344,24.7482700348,68.6550779343,75.392936945
530000,14.8744997978,25.8488621712,53.1956970692,25.2258889675,67.5427529812,71.6341481209
540000,14.1966240406,23.7580499649,52.8444590569,25.9139759541,70.4747290611,73.935477972
550000,14.2626252174,24.7146098614,55.5459418297,25.9934740067,70.7336509228,76.003770113
560000,14.3561310768,25.3363170624,56.1562149525,25.0369420052,70.2112269402,74.0583748817
570000,14.4035339355,25.5047681332,54.3343961239,26.9380781651,74.047066927,75.0921421051
580000,14.7416369915,25.6792478561,57.7573199272,26.6044380665,70.3007788658,77.6939280033
590000,14.8185498714,28.3403329849,57.2695350647,26.8476939201,75.659236908,78.6052911282
600000,14.4405171871,27.73939991,60.816095829,28.038312912,74.1028130054,77.4479789734
610000,14.9746730328,26.8162961006,61.972933054,27.449614048,74.1243450642,77.1267797947
620000,14.3707499504,27.7503211498,63.6847150326,27.4272210598,77.0597569942,79.2385640144
630000,14.2618339062,25.537610054,65.3633289337,28.8168561459,75.3364930153,81.0847980976
640000,14.384980917,26.9501180649,64.9076530933,26.9381241798,77.4494140148,80.6070370674
650000,14.6289610863,26.0607290268,67.0421149731,27.9603910446,77.9167370796,81.2738637924
660000,14.3964300156,26.6239910126,67.3097279072,29.8184478283,79.372396946,82.263614893
670000,14.3735990524,26.4938018322,70.3002569675,26.7482111454,80.2401630878,83.8519310951
680000,14.3848688602,28.1839261055,73.7688729763,27.4062931538,78.5605690479,80.4738080502
690000,14.3516550064,26.5842170715,70.1773409843,27.938491106,78.2274858952,82.6197280884
700000,14.351473093,28.2620768547,71.556456089,30.1403880119,82.308139801,85.7770750523
710000,14.7957670689,26.916572094,74.6693389416,28.6728179455,80.5622780323,83.6410520077
720000,14.2851529121,28.0181391239,73.6022570133,29.4637260437,79.6498289108,85.4963920116
730000,14.4406919479,27.4257719517,75.5248770714,29.4397530556,78.7384560108,86.5875251293
740000,13.9955041409,31.3531398773,75.9254660606,31.2183670998,81.8190429211,87.8313529491
750000,14.4075260162,31.8085269928,75.6261508465,28.7253949642,83.3642199039,84.7074460983
760000,15.0969979763,29.617898941,76.7717521191,29.0614130497,81.9953401089,88.8321688175
770000,14.5957949162,26.8614258766,77.0720870495,28.3436601162,82.5522859097,92.180617094
780000,14.3287870884,26.9807569981,78.2169649601,26.658493042,83.4937160015,94.5047090054
790000,14.4295270443,27.9469101429,80.0053780079,28.3501751423,83.8750920296,94.2787268162
800000,15.1518990993,29.8274219036,76.8160409927,29.6291100979,84.8425278664,90.9249050617
810000,14.3717439175,31.1511440277,75.9929170609,28.7364039421,87.733533144,91.3027648926
820000,14.3075480461,26.9499690533,75.6925678253,30.2734501362,87.4891030788,92.9681880474
830000,14.5525069237,28.5725967884,78.2946588993,29.5064558983,84.9214990139,94.1486051083
840000,14.3853099346,28.2832820415,75.6341650486,26.504638195,87.6333780289,93.1821298599
850000,14.1299901009,29.3065369129,78.8714170456,29.706441164,87.9780209064,96.5174160004
860000,13.0622918606,27.1613171101,77.6953160763,27.1161689758,90.1572439671,95.8590209484
870000,12.3073010445,27.4587168694,80.6403939724,29.307156086,90.4672589302,96.6060459614
880000,13.0508160591,26.3594989777,77.6934399605,26.6044681072,88.2336990833,97.5954799652
890000,12.4727890491,26.6921679974,77.973170042,29.083906889,88.7117910385,101.98754406
900000,12.8291449547,25.5267848969,79.0501098633,29.2507739067,93.3747801781,101.16485095
910000,12.9971051216,28.8170499802,76.6926329136,26.8601119518,94.2156031132,105.355954885
920000,12.716711998,26.9147720337,78.7151129246,28.1170699596,92.1348958015,102.398571968
930000,12.9854538441,26.9577140808,77.9047930241,28.6385908127,96.2614548206,104.956389189
940000,12.7072229385,28.1948080063,78.4720659256,31.1519448757,90.7128901482,104.166637897
950000,13.3438310623,27.1607429981,77.7263638973,28.2498898506,95.1605920792,102.017812014
960000,13.1143000126,27.260217905,77.8935260773,29.3497140408,96.7952029705,106.589947939
970000,12.8325579166,29.2487850189,76.792840004,31.3179588318,98.0514879227,107.82586503
980000,12.2169251442,27.6389911175,77.5244879723,30.7848408222,95.5497941971,105.767912865
990000,12.3143970966,30.0182821751,80.4614319801,30.451458931,97.9176671505,107.969105959
1000000,11.0375130177,29.7710900307,78.5386781693,28.8507819176,95.471987009,108.813946962
